Date,Open,High,Low,Close,Volume,Increase
2020/1/2,300.494387,306.3687134,300.494387,306.3687134,31754120,2.42%
2020/1/3,310.8874594,311.7912021,303.2056472,306.8206177,41811268,0.15%
2020/1/6,300.9463453,302.3019595,300.0426025,300.0426025,45343057,-2.21%
2020/1/7,300.4943695,300.9462407,295.0719147,297.7831421,50879181,-0.75%
2020/1/8,293.716301,300.9462407,293.716301,297.7831421,37567748,0.00%
2020/1/9,302.7537055,305.0130615,301.3980919,305.0130615,31481504,2.43%
2020/1/10,307.7243603,308.1762316,303.6575185,306.8206177,27032115,0.59%
2020/1/13,309.0799536,309.0799536,306.3687259,308.6280823,30663332,0.59%
2020/1/14,312.243075,312.6949463,311.3393324,312.6949463,30223993,1.32%
2020/1/15,311.7912046,311.7912046,305.0131349,307.2724915,47434274,-1.73%
2020/1/16,298.2350384,304.109365,298.2350384,302.3018799,55211420,-1.62%
2020/1/17,301.8499705,303.2055841,300.0424856,300.946228,52060097,-0.45%
2020/1/20,301.8499705,303.2055841,300.946228,300.946228,32658203,0.00%
2020/1/30,294.6200381,294.6200381,286.0344849,286.0344849,125451049,-4.95%
2020/1/31,291.9088288,292.3607001,288.2938588,289.1976013,62526055,1.11%
2020/2/3,284.6789551,286.0345691,281.9677269,284.6789551,59560849,-1.56%
2020/2/4,304.1094736,304.561345,293.7164307,293.7164307,51890496,3.17%
2020/2/5,297.3312606,297.7831318,293.2644197,295.975647,36601453,0.77%
2020/2/6,297.7831875,300.4944153,297.3313162,300.4944153,29267094,1.53%
2020/2/7,298.2350363,298.6869076,294.6200662,296.4275513,28798327,-1.35%
2020/2/10,290.5531924,296.4275182,290.1013212,295.975647,30632424,-0.15%
2020/2/11,298.6869251,300.4944103,298.2350538,299.5906677,27524935,1.22%
2020/2/12,301.3981095,303.6574656,300.9462382,302.7537231,37612639,1.06%
2020/2/13,305.4649505,305.4649505,302.7537231,302.7537231,22757021,0.00%
2020/2/14,304.5612081,304.5612081,302.3018519,302.7537231,16933683,0.00%
2020/2/17,299.5906677,300.9462816,298.6869251,299.5906677,15937079,-1.04%
2020/2/18,293.264422,295.0719069,291.0050659,291.0050659,61825604,-2.87%
2020/2/19,291.45699,295.5238318,291.0051187,295.0719604,38781218,1.40%
2020/2/20,296.4275386,297.3312811,293.7163111,294.1681824,27011736,-0.31%
2020/2/21,294.1683021,295.072045,291.9089449,293.7164307,22813534,-0.15%
2020/2/24,288.7457301,290.5532151,288.7457301,289.1976013,41693680,-1.54%
2020/2/25,289.197581,292.3606796,286.9382249,291.0050659,36195011,0.62%
2020/2/26,286.4863663,289.6494649,286.034495,287.84198,60479362,-1.09%
2020/2/27,288.2938384,289.1975808,284.6788686,285.5826111,61250927,-0.78%
2020/3/2,278.3527369,286.4864208,278.3527369,281.0639648,79912942,-1.58%
2020/3/3,287.8419749,289.1975886,285.5826187,286.9382324,49679411,2.09%
2020/3/4,291.0050582,291.0050582,286.4863461,289.6494446,42941146,0.94%
2020/3/5,293.7162984,294.6200408,291.9088135,291.9088135,37861525,0.78%
2020/3/6,289.1976687,289.64954,284.6789551,284.6789551,51546760,-2.48%
2020/3/9,277.9008998,280.1602567,276.0934143,276.0934143,87871277,-3.02%
2020/3/10,272.4783304,279.2563984,272.0264592,277.4489136,71950130,0.49%
2020/3/11,279.2564344,280.6120481,272.9302368,272.9302368,62216710,-1.63%
2020/3/12,270.2190613,270.2190613,259.3741491,265.7003479,113527351,-2.65%
2020/3/13,248.5291895,265.7002972,246.2698333,262.0853271,149995148,-1.36%
2020/3/16,257.5666072,262.9890621,248.9810537,249.8847961,103873228,-4.66%
2020/3/17,239.4917451,249.8847831,239.4917451,242.2029724,121323651,-3.07%
2020/3/18,243.5586385,246.2698664,234.9730835,234.9730835,117437643,-2.99%
2020/3/19,229.9542204,230.8667372,214.8976941,226.3041534,160811697,-3.69%
2020/3/20,235.8855158,246.3794556,233.6042245,246.3794556,157664726,8.87%
2020/3/23,234.5168213,239.5356638,229.9542373,232.6917877,76466709,-5.56%
2020/3/24,244.5544639,250.0295638,242.7294306,244.0982056,81952933,4.90%
2020/3/25,252.3108773,255.5046858,250.0295854,252.7671356,79447199,3.55%
2020/3/26,255.0484718,255.5047302,251.3984042,255.5047302,52845633,1.08%
2020/3/27,259.1547653,260.9797988,249.1170807,249.1170807,68752306,-2.50%
2020/3/30,240.4481389,245.4669806,239.5356223,244.0982056,49159956,-2.01%
2020/3/31,249.1171005,250.0296173,245.9232915,250.0296173,48837923,2.43%
2020/4/1,252.3109057,252.3109057,247.7483215,247.7483215,44515034,-0.91%
2020/4/6,249.1170694,251.3983612,246.3795191,251.3983612,56392754,1.47%
2020/4/7,258.6985069,259.1547653,255.9609566,258.2422485,48787346,2.72%
2020/4/8,260.0672913,260.5235497,258.2422576,260.0672913,37912826,0.71%
2020/4/9,262.348574,262.8048324,257.7859901,258.2422485,27620430,-0.70%
2020/4/10,255.5047203,257.3297541,254.5922035,255.0484619,27252858,-1.24%
2020/4/13,254.13591,256.8734602,254.13591,254.13591,22196596,-0.36%
2020/4/14,256.417224,260.5235497,255.5047072,260.0672913,48809688,2.33%
2020/4/15,261.8922829,263.2610579,260.9797663,262.3485413,55216434,0.88%
2020/4/16,258.2422568,263.2610993,258.2422568,261.4360657,47815280,-0.35%
2020/4/17,276.9488207,281.5114043,274.2112706,279.6863708,116368201,6.98%
2020/4/20,281.0551882,281.9677051,276.0363456,277.4051208,41381669,-0.82%
2020/4/21,274.2112549,275.1237716,267.8236383,269.1924133,61479357,-2.96%
2020/4/22,268.7361961,269.1924545,265.086129,268.2799377,42192580,-0.34%
2020/4/23,273.7550687,273.7550687,268.2799673,269.6487427,39474478,0.51%
2020/4/24,269.6487129,271.0174881,268.2799377,268.2799377,26008090,-0.51%
2020/4/27,271.9300537,272.3863122,270.1050198,271.9300537,38493406,1.36%
2020/4/28,272.3862518,272.3862518,268.7361847,270.5612183,37395165,-0.50%
2020/4/29,272.8425293,275.1238213,271.9300125,272.8425293,44059301,0.84%
2020/4/30,275.5801272,278.3176782,275.1238687,277.8614197,55126085,1.84%
2020/5/4,268.736155,270.5611883,268.2798967,269.1924133,71581861,-3.12%
2020/5/5,270.5612596,271.9300349,269.1924842,269.6487427,23547405,0.17%
2020/5/6,268.7362052,270.1049805,266.9111716,270.1049805,34240479,0.17%
2020/5/7,268.7362044,272.8425301,268.7362044,271.4737549,27621198,0.51%
2020/5/8,273.7550469,273.7550469,270.1049796,271.4737549,32295893,0.00%
2020/5/11,273.7550856,275.123861,272.3863102,274.6676025,28727019,1.18%
2020/5/12,271.473705,272.3862216,269.1924133,269.1924133,52089788,-1.99%
2020/5/13,267.3673893,271.0174561,266.911131,271.0174561,26156418,0.68%
2020/5/14,267.3674316,269.1924653,266.9111732,267.3674316,34315948,-1.35%
2020/5/15,271.4737952,272.3863122,268.7362444,271.9300537,42494804,1.71%
2020/5/18,265.542369,267.8236609,264.6298523,264.6298523,84986065,-2.68%
2020/5/19,268.2799801,268.2799801,265.9986877,265.9986877,51250214,0.52%
2020/5/20,267.3674209,268.2799377,265.5423874,268.2799377,32677994,0.86%
2020/5/21,270.1049796,271.9300133,269.1924628,271.4737549,30997468,1.19%
2020/5/22,268.7361869,269.1924453,265.5423783,266.454895,40192923,-1.85%
2020/5/25,265.0861199,267.3674118,263.2610863,266.454895,26803223,0.00%
2020/5/26,269.1924842,271.4737765,267.8237089,269.6487427,33856481,1.20%
2020/5/27,271.0174766,271.9299934,269.6487015,270.5612183,23375959,0.34%
2020/5/28,272.3862633,272.3862633,267.3674209,268.2799377,28444568,-0.84%
2020/5/29,266.454895,266.9111534,264.6298615,266.454895,79774181,-0.68%
2020/6/1,268.2799673,270.5612596,267.8237089,269.6487427,35811214,1.20%
2020/6/2,270.1049599,271.473735,270.1049599,270.5612183,24771587,0.34%
2020/6/3,273.7550856,274.6676025,271.9300517,274.6676025,65176337,1.52%
2020/6/4,278.3176771,279.2301941,277.4051601,279.2301941,46572451,1.66%
2020/6/5,281.511382,284.7051902,281.0551237,284.2489319,42981262,1.80%
2020/6/8,288.3552949,291.0928451,287.4427781,290.1803284,50302921,2.09%
2020/6/9,288.8115124,291.092804,286.5302208,291.092804,36417082,0.31%
2020/6/10,291.092843,295.6554267,290.1803262,294.2866516,39984259,1.10%
2020/6/11,297.0241615,298.3929364,290.6365451,292.4615784,50104255,-0.62%
2020/6/12,285.6177052,289.7240301,285.1614469,288.3552551,45992918,-1.40%
2020/6/15,288.3552782,289.7240533,281.511403,282.4239197,51032404,-2.06%
2020/6/16,289.2678745,289.2678745,286.5303236,287.4428406,36608216,1.78%
2020/6/17,288.811616,289.2678745,286.0740651,287.4428406,34522968,0.00%
2020/6/18,289.2824097,289.7423181,287.9026843,289.2824097,29044474,0.64%
2020/6/19,288.8225012,289.2824097,286.9828675,289.2824097,48130280,0.00%
2020/6/22,289.2823912,291.1220248,286.9828491,286.9828491,37374616,-0.79%
2020/6/23,290.6622183,291.1221268,287.4428583,289.7424011,41300084,0.96%
2020/6/24,293.4215648,294.3413816,290.6621144,292.0418396,54147024,0.79%
2020/6/29,288.8224828,289.7422996,285.1432155,286.9828491,56580892,-1.73%
2020/6/30,288.3626184,288.8225269,286.063076,287.90271,48991860,0.32%
2020/7/1,289.7422976,292.501748,288.8224807,292.0418396,29532342,1.44%
2020/7/2,293.4215494,296.1809998,292.5017327,296.1809998,34526178,1.42%
2020/7/3,300.7800785,303.9994371,300.3201701,303.0796204,53341987,2.33%
2020/7/6,305.839109,310.8981018,305.3792006,310.8981018,57256220,2.58%
